Timestamp,Pair,Timeframe,Z_Score,Ratio,Signal
2026-02-03T11:42:45.791172,CIPLA/SUNPHARMA,20 Days,-2.21,0.7897,BUY A / SELL B
2026-02-03T11:42:45.791369,CIPLA/SUNPHARMA,60 Days,-3.05,0.7897,BUY A / SELL B
2026-02-03T11:42:45.791512,CIPLA/SUNPHARMA,120 Days,-2.04,0.7897,BUY A / SELL B
2026-02-03T11:47:20.714300,CIPLA/SUNPHARMA,20 Days,-2.16,0.7912,BUY A / SELL B
2026-02-03T11:47:20.714669,CIPLA/SUNPHARMA,60 Days,-2.99,0.7912,BUY A / SELL B
2026-02-03T11:47:20.714815,CIPLA/SUNPHARMA,120 Days,-2.01,0.7912,BUY A / SELL B
2026-02-03T18:34:57.352452,ONGC/RELIANCE,60 Days,-4.28,0.1770,BUY A / SELL B
2026-02-03T18:34:57.352705,ONGC/RELIANCE,20 Days,-3.84,0.1770,BUY A / SELL B
2026-02-03T18:34:57.352790,CIPLA/SUNPHARMA,60 Days,-3.30,0.7831,BUY A / SELL B
2026-02-03T18:34:57.352870,ONGC/RELIANCE,10 Days,-2.75,0.1770,BUY A / SELL B
2026-02-03T18:34:57.352945,CIPLA/SUNPHARMA,20 Days,-2.40,0.7831,BUY A / SELL B
