symbol,n,wr,avg_pnl_pct,avg_pnl_inr,median_pnl_inr,max_prem,wr_pct
360ONE,1,1.0,0.16,931.0,931.0,0.43,100.0
HDFCAMC,3,1.0,0.23,1967.33,2247.0,0.37,100.0
NESTLEIND,3,1.0,0.25,1234.0,1576.0,0.48,100.0
NAUKRI,1,1.0,0.32,2395.0,2395.0,0.37,100.0
MFSL,1,1.0,0.2,1629.0,1629.0,0.33,100.0
MCX,1,1.0,0.3,1677.0,1677.0,0.35,100.0
LTF,8,1.0,0.62,4922.12,3541.5,1.44,100.0
LODHA,3,1.0,0.24,1459.67,1841.0,0.34,100.0
LICI,1,1.0,0.36,2274.0,2274.0,0.34,100.0
KFINTECH,2,1.0,0.95,4573.0,4573.0,1.37,100.0
KEI,2,1.0,0.51,3227.0,3227.0,0.37,100.0
KALYANKJIL,2,1.0,0.28,1199.0,1199.0,0.32,100.0
JUBLFOOD,2,1.0,0.31,1902.5,1902.5,0.46,100.0
JSWSTEEL,1,1.0,0.28,2155.0,2155.0,0.31,100.0
JSWENERGY,1,1.0,0.42,1987.0,1987.0,0.45,100.0
IRFC,1,1.0,0.74,3576.0,3576.0,0.51,100.0
IREDA,2,1.0,1.75,8607.0,8607.0,2.8,100.0
IRCTC,1,1.0,0.41,2503.0,2503.0,0.36,100.0
INDUSINDBK,1,1.0,0.52,1725.0,1725.0,0.52,100.0
INDIGO,2,1.0,0.39,3441.0,3441.0,0.47,100.0
INDIANB,1,1.0,1.02,4814.0,4814.0,0.84,100.0
IDFCFIRSTB,1,1.0,0.33,1498.0,1498.0,0.37,100.0
IDEA,1,1.0,4.51,18000.0,18000.0,8.63,100.0
HUDCO,2,1.0,0.68,3540.5,3540.5,1.21,100.0
HINDZINC,2,1.0,0.39,2739.5,2739.5,0.51,100.0
NHPC,3,1.0,0.6,3126.0,3068.0,1.02,100.0
NIFTY,1,1.0,0.24,2673.0,2673.0,0.31,100.0
OIL,3,1.0,0.22,1021.0,947.0,0.38,100.0
SUPREMEIND,2,1.0,0.4,2253.0,2253.0,0.46,100.0
YESBANK,1,1.0,0.4,2075.0,2075.0,0.3,100.0
WIPRO,1,1.0,0.42,2916.0,2916.0,0.34,100.0
VOLTAS,7,1.0,1.64,12968.86,6420.0,8.27,100.0
VEDL,2,1.0,1.71,9076.5,9076.5,1.78,100.0
UNIONBANK,1,1.0,0.11,618.0,618.0,0.31,100.0
TVSMOTOR,2,1.0,0.29,2150.5,2150.5,0.54,100.0
TCS,1,1.0,0.41,2764.0,2764.0,0.45,100.0
TATATECH,1,1.0,0.42,2205.0,2205.0,0.33,100.0
TATAELXSI,1,1.0,0.33,1733.0,1733.0,0.56,100.0
TATACONSUM,2,1.0,0.59,2998.5,2998.5,0.72,100.0
SRF,7,1.0,0.64,6858.43,4171.0,14.48,100.0
PERSISTENT,3,1.0,0.64,5522.0,3443.0,14.81,100.0
SONACOMS,5,1.0,0.51,1946.2,2318.0,0.99,100.0
SHREECEM,2,1.0,0.33,2275.5,2275.5,0.42,100.0
RECLTD,3,1.0,0.78,3614.67,3195.0,1.37,100.0
PRESTIGE,2,1.0,0.4,2760.0,2760.0,0.32,100.0
POLICYBZR,2,1.0,0.31,1717.5,1717.5,0.39,100.0
PNBHOUSING,1,1.0,0.28,1560.0,1560.0,0.32,100.0
PIIND,2,1.0,0.51,3116.5,3116.5,0.35,100.0
PHOENIXLTD,1,1.0,0.41,2316.0,2316.0,0.32,100.0
PGEL,1,1.0,0.43,1775.0,1775.0,0.35,100.0
PFC,1,1.0,0.27,4063.0,4063.0,0.35,100.0
HEROMOTOCO,1,1.0,0.33,3897.0,3897.0,0.54,100.0
INOXWIND,1,1.0,0.98,5994.0,5994.0,0.78,100.0
BSE,1,1.0,0.41,3151.0,3151.0,0.34,100.0
DRREDDY,3,1.0,0.31,2322.33,1571.0,0.5,100.0
ANGELONE,6,1.0,0.74,3654.83,2560.0,1.39,100.0
ASHOKLEY,3,1.0,0.22,1870.67,1624.0,0.31,100.0
DELHIVERY,2,1.0,0.6,3104.0,3104.0,0.68,100.0
BDL,1,1.0,0.37,1792.0,1792.0,0.32,100.0
CONCOR,2,1.0,1.31,7224.5,7224.5,14.04,100.0
AUBANK,3,1.0,1.11,6677.33,5254.0,1.93,100.0
AUROPHARMA,3,1.0,0.46,5818.0,5464.0,14.23,100.0
CHOLAFIN,2,1.0,1.11,11733.5,11733.5,1.3,100.0
CGPOWER,1,1.0,0.3,1282.0,1282.0,0.37,100.0
CDSL,1,1.0,0.38,2271.0,2271.0,0.32,100.0
CAMS,1,1.0,0.41,1956.0,1956.0,0.36,100.0
BANDHANBNK,4,1.0,0.5,2381.25,2450.0,0.8,100.0
BOSCHLTD,2,1.0,0.9,7887.0,7887.0,1.49,100.0
BLUESTARCO,5,1.0,0.3,1740.2,1397.0,0.8,100.0
BHARTIARTL,1,1.0,0.07,711.0,711.0,0.31,100.0
DMART,4,1.0,0.29,1731.25,1837.5,0.35,100.0
CUMMINSIND,1,1.0,0.32,2450.0,2450.0,0.42,100.0
ETERNAL,1,1.0,0.28,1321.0,1321.0,0.31,100.0
AMBER,2,1.0,0.71,5463.5,5463.5,0.59,100.0
ADANIENT,1,1.0,0.32,2196.0,2196.0,0.39,100.0
ADANIGREEN,1,1.0,0.62,2338.0,2338.0,0.5,100.0
GMRAIRPORT,3,1.0,0.56,5497.0,5174.0,0.45,100.0
ALKEM,2,1.0,0.22,1084.0,1084.0,0.38,100.0
BANKNIFTY,3,1.0,0.35,2937.67,2695.0,0.45,100.0
FEDERALBNK,1,1.0,0.36,3252.0,3252.0,0.34,100.0
SAIL,12,0.83,1.55,8815.25,5581.0,14.19,83.3
HINDUNILVR,11,0.82,0.68,4977.27,6510.0,9.15,81.8
UNITDSPR,5,0.8,1.97,19214.2,2551.0,14.13,80.0
POWERGRID,5,0.8,0.72,6553.8,2073.0,14.84,80.0
SAMMAANCAP,5,0.8,0.54,2851.6,4173.0,1.03,80.0
COLPAL,9,0.78,0.46,2975.33,910.0,14.65,77.8
ITC,17,0.76,0.39,2606.29,5040.0,14.99,76.5
PATANJALI,4,0.75,0.26,1395.0,2149.0,0.36,75.0
ICICIBANK,4,0.75,0.47,4532.5,7560.0,14.67,75.0
ICICIGI,8,0.75,0.58,5258.0,3024.5,14.48,75.0
COALINDIA,4,0.75,1.27,10053.75,11077.5,14.78,75.0
OBEROIRLTY,12,0.75,1.3,14374.33,4973.5,14.58,75.0
GRASIM,4,0.75,1.43,13731.5,10744.0,12.18,75.0
ADANIPORTS,7,0.71,0.52,6120.0,7440.0,13.17,71.4
AXISBANK,7,0.71,2.03,16171.0,2687.0,14.22,71.4
HINDPETRO,7,0.71,1.98,21817.0,4658.0,14.95,71.4
BHEL,6,0.67,1.49,16143.83,17653.0,7.95,66.7
HDFCLIFE,3,0.67,1.24,10431.67,8415.0,14.97,66.7
NYKAA,3,0.67,0.21,1419.33,1667.0,0.43,66.7
BHARATFORG,3,0.67,-0.21,-1779.33,3001.0,13.11,66.7
MANAPPURAM,3,0.67,0.46,2564.67,3690.0,0.66,66.7
CIPLA,9,0.67,0.74,7251.33,7768.0,13.2,66.7
ASTRAL,6,0.67,0.17,889.83,997.5,13.96,66.7
IEX,11,0.64,1.38,7295.36,2625.0,12.27,63.6
SYNGENE,13,0.62,0.64,4132.38,2396.0,12.33,61.5
UPL,8,0.62,0.51,4655.0,3680.5,14.7,62.5
BPCL,15,0.6,0.17,890.47,1620.0,12.73,60.0
DABUR,15,0.6,0.14,851.87,1375.0,10.46,60.0
DIXON,5,0.6,-0.12,-3790.0,2923.0,10.64,60.0
ASIANPAINT,19,0.58,0.6,3439.47,1110.0,14.85,57.9
RBLBANK,9,0.56,0.08,-128.67,998.0,14.5,55.6
INFY,9,0.56,1.75,12938.44,620.0,14.06,55.6
CROMPTON,13,0.54,0.93,3349.62,600.0,14.78,53.8
SBICARD,15,0.53,-0.11,-806.27,320.0,13.82,53.3
AMBUJACEM,6,0.5,-0.11,-3225.0,45.0,14.85,50.0
SBIN,4,0.5,-0.47,-3119.25,1561.5,14.31,50.0
SBILIFE,2,0.5,0.66,4987.5,4987.5,11.18,50.0
TORNTPHARM,2,0.5,0.56,5137.5,5137.5,9.06,50.0
ZYDUSLIFE,6,0.5,0.58,4791.67,717.5,14.81,50.0
DLF,2,0.5,1.43,8580.0,8580.0,14.61,50.0
HCLTECH,8,0.5,-0.12,181.62,-1417.5,10.49,50.0
INDUSTOWER,6,0.5,0.66,8896.67,935.0,13.98,50.0
LT,10,0.5,1.24,8352.6,1282.5,13.63,50.0
LTIM,14,0.5,0.58,5120.64,2063.5,14.9,50.0
GLENMARK,2,0.5,-0.84,-11165.0,-11165.0,8.25,50.0
HINDALCO,6,0.5,0.93,10006.67,410.0,13.66,50.0
NTPC,8,0.5,0.1,-876.88,1493.0,14.4,50.0
PAGEIND,21,0.48,-0.12,-655.1,-398.0,11.35,47.6
HAVELLS,9,0.44,-0.3,-2163.89,0.0,14.9,44.4
BRITANNIA,7,0.43,0.33,3237.14,-20.0,14.65,42.9
BAJAJ-AUTO,7,0.43,-0.25,-3798.86,0.0,11.57,42.9
ICICIPRULI,7,0.43,-1.97,-18065.57,-9450.0,14.21,42.9
OFSS,7,0.43,-2.0,-30672.86,-21140.0,7.63,42.9
SUNPHARMA,7,0.43,0.48,2782.43,0.0,14.54,42.9
TECHM,5,0.4,-0.9,-7691.0,0.0,14.02,40.0
IOC,10,0.4,-1.3,-3877.1,-9774.0,11.47,40.0
GODREJPROP,5,0.4,-0.17,-1715.2,-2565.0,14.54,40.0
GODREJCP,13,0.38,-0.37,-3030.77,-2725.0,14.48,38.5
MOTHERSON,8,0.38,0.65,5103.12,0.0,14.94,37.5
APOLLOHOSP,6,0.33,-0.47,-4372.83,-1600.0,14.18,33.3
DALBHARAT,3,0.33,0.01,61.33,-33.0,0.38,33.3
SIEMENS,9,0.33,-0.98,-9040.67,-289.0,14.36,33.3
MARICO,3,0.33,-0.96,-8480.0,-7440.0,9.76,33.3
PNB,9,0.33,0.08,817.78,-5360.0,14.32,33.3
TITAN,7,0.29,-0.53,-3617.43,-5346.0,12.75,28.6
ABB,8,0.25,-0.39,-3305.5,0.0,14.85,25.0
ULTRACEMCO,8,0.25,0.41,4758.75,-6790.0,14.65,25.0
MPHASIS,13,0.23,-0.75,-5631.08,-509.0,14.95,23.1
KOTAKBANK,9,0.22,-0.17,-1400.0,0.0,14.93,22.2
DIVISLAB,1,0.0,0.0,0.0,0.0,14.3,0.0
EXIDEIND,3,0.0,-0.74,-10020.0,0.0,14.41,0.0
GAIL,1,0.0,-0.66,-5490.0,-5490.0,9.12,0.0
LUPIN,3,0.0,-1.38,-11928.33,-1445.0,10.85,0.0
