Type,Entry_Date,Exit_Date,Entry_Z,Exit_Z,Return,Duration,Reason
Short Ratio,2023-05-05,2023-05-30,2.5764411873244333,-0.03266231829737164,0.015485401010572252,25,Target
Long Ratio,2023-06-19,2023-08-09,-2.225685415330058,0.8943064837279253,0.023838735153060217,51,Target
Short Ratio,2023-08-25,2023-09-04,2.1410368998303855,-0.09323122412293107,0.009978308223727658,10,Target
Long Ratio,2023-09-08,2023-09-12,-2.2017456198693246,0.7434071309023255,0.01438578934219695,4,Target
Long Ratio,2023-09-22,2023-10-13,-2.5876290438933895,0.14045557559004934,0.009138109680232464,21,Target
Short Ratio,2023-11-06,2023-11-13,2.276404169073678,-0.8919564765570613,0.015185664184019865,7,Target
Long Ratio,2023-11-16,2023-12-04,-2.0318165640034,0.13926991064403288,0.0065498154487614625,18,Target
Long Ratio,2023-12-26,2024-01-17,-2.18142663419844,0.6236732226285877,0.020338450086350542,22,Target
Short Ratio,2024-01-19,2024-04-02,2.0146911749788026,-0.6704924753309518,-0.04149667734428615,74,Target
Long Ratio,2024-04-05,2024-04-25,-2.1382802416010214,0.010308617346035404,0.022529217973961423,20,Target
Long Ratio,2024-06-06,2024-06-26,-2.024994770513743,0.33369342033889143,0.017930405703308134,20,Target
Short Ratio,2024-07-05,2024-08-02,2.143905237327843,-0.49536083073939907,0.011305058302430691,28,Target
Short Ratio,2024-09-03,2024-09-30,2.2217703454631255,-0.007570902712601528,0.0042779486643849006,27,Target
Short Ratio,2024-10-22,2024-11-08,2.268592009538092,-0.062082896186000186,0.010429808798270395,17,Target
Short Ratio,2024-12-17,2025-01-02,2.0817834031400118,-0.09868113923752651,0.009221572443546103,16,Target
Short Ratio,2025-01-10,2025-01-20,2.0270685341769816,-1.0308905599856437,0.025109415026909332,10,Target
Long Ratio,2025-01-21,2025-01-27,-2.4193998322199732,1.2771922139974698,0.038570437494969516,6,Target
Short Ratio,2025-03-11,2025-04-08,3.2592193930456066,-0.018437866423748634,0.010209192568410885,28,Target
Long Ratio,2025-06-09,2025-07-18,-3.185176597983214,0.8867950398699779,0.0034772839684584743,39,Target
Short Ratio,2025-07-21,2025-08-19,2.575474556956556,-0.08883388513608047,0.0025949674659738204,29,Target
Long Ratio,2025-09-17,2025-12-03,-2.132610787424978,0.23914917031823468,-0.084610961868681,77,Target
Long Ratio,2025-12-30,2026-01-06,-2.220288839990113,1.6128821442339154,0.03337318706383846,7,Target
Short Ratio,2026-01-07,2026-01-19,2.445329528753406,-0.27684204517353245,0.031211854001863062,12,Target
